25|16|8|3
11|24|13|26
1|5|10|6
23|7|2|19
20|18|12|15
8|9|21|14
25|22|26|17
5|16|24|4
13|2|3|1
19|10|11|18
12|23|9|6
14|22|7|15
20|17|4|21

5|13|16|8
18|2|25|24
19|10|26|3
6|12|1|7
4|21|23|9
17|15|22|16
14|8|18|2
11|12|26|20
5|1|3|24
22|13|4|10
7|25|19|21
6|9|11|17
23|20|15|14

26|8|18|13
16|19|25|21
4|12|7|24
17|6|2|22
3|15|14|1
23|5|9|13
19|20|10|26
18|21|7|11
25|24|8|6
16|14|17|12
1|4|22|5
9|2|3|20
10|23|15|11

21|6|24|7
12|16|17|8
26|19|22|18
1|4|20|9
13|3|14|10
15|11|5|7
2|17|6|23
21|25|12|19
16|24|9|22
13|8|20|26
15|1|18|3
10|4|23|5
2|14|11|25

9|7|17|12
8|6|13|19
24|1|15|20
4|2|16|10
11|22|5|25
17|26|23|18
3|7|21|13
6|14|1|9
12|20|8|4
22|15|19|16
24|5|10|23
21|26|11|25
3|18|14|2

9|13|12|1
7|17|20|22
15|5|24|23
8|19|11|25
2|18|6|14
10|9|4|16
22|3|21|12
24|26|1|17
7|11|13|15
20|23|8|2
14|10|25|5
18|3|19|4
26|21|6|16
