16|25|3|8
13|24|26|11
6|1|10|5
7|2|19|23
20|12|15|18
14|9|21|8
26|22|17|25
5|24|16|4
2|13|3|1
11|19|10|18
12|6|23|9
14|22|15|7
20|21|4|17
8|5|16|13
18|24|11|25
19|10|26|3
6|12|7|1
23|9|4|21
16|22|15|17
14|2|8|18
11|13|20|26
3|5|24|1
19|7|25|21
22|4|12|10
2|9|17|6
15|20|14|23
8|18|26|13
25|21|16|19
24|4|12|7
6|17|22|2
1|14|3|15
5|13|23|9
26|19|10|20
11|7|18|21
25|8|6|24
17|16|14|12
1|5|4|22
3|20|2|9
23|10|11|15
21|6|24|7
17|12|8|16
18|22|26|19
20|4|9|1
3|14|13|10
11|15|5|7
23|17|6|2
12|25|21|19
16|24|9|22
20|26|13|8
3|15|1|18
10|4|23|5
25|11|14|2
9|12|7|17
13|6|19|8
1|20|24|15
10|16|22|4
5|2|25|11
18|17|23|26
7|3|13|21
9|1|6|14
4|8|20|12
15|19|11|22
24|23|5|10
21|16|25|26
2|3|18|14
13|1|9|12
22|7|17|20
15|23|5|24
19|11|8|25
18|14|6|2
16|10|9|4
12|21|22|3
17|26|1|24
15|11|7|13
8|23|2|20
10|25|14|5
4|3|18|19
26|6|21|16
24|1|11|12
9|13|17|23
22|15|20|5
4|8|7|14
25|18|2|26
21|16|12|3
19|9|1|6
13|15|24|10
7|17|5|11
22|23|25|14
4|2|20|16
21|26|8|6
10|18|19|3
